developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
Víctor Atobas,4,1.82,61.94,28
Ilya873,4,0.77,61.91,38
Retro Gears,4,1.75,61.9,393
Aegon Games Ltd,4,3.29,61.81,300
Big Robot Ltd,4,8.24,61.73,5240
OrangutanLeMonk,4,1.99,61.71,119
David Vogt,4,1.5,61.66,61
Studio48,4,2.74,61.65,199
Smart Tale Games,4,2.29,61.63,566
Virtual Sky Interactive,4,5.99,61.44,223
Milan Kazarka,4,2.74,61.29,434
VooFoo Studios,4,6.17,61.14,1196
Nevsram,4,3.24,61.11,26
SharF Co.,4,1.33,61.01,210
Cow Corp.,4,0.99,60.86,230
Roman Shuvalov,4,2.34,60.86,218
D.P.L.D.S,4,0.54,60.74,76
Xefier Games Inc.,4,9.74,60.72,234
Play Spirit Limited,4,1.37,60.7,378
Subdream Studios,4,5.74,60.69,154
Fire Game Studios,4,2.12,60.65,68
Artepi Corporation,4,1.5,60.31,100
Play Publishing,4,2.24,60.26,226
Mikki-Boi,4,7.49,60.25,80
Stroboskop,4,9.87,60.17,259
灵虚之幽,4,1.24,60.13,54
WJLEGAME,4,4.99,60.12,17
Timberwolf Studios,4,0.61,60.08,305
Bazookafriend,4,3.75,60.0,186
GAMEZ-STUDIO,4,4.22,60.0,15
Master Bronze Elite,4,0.25,60.0,5
2kblater (5),4,4.14,59.93,21
Ambitious Games,4,4.75,59.89,76
Star Vault AB,4,4.7,59.73,16224
黒子ラボ,4,1.74,59.65,22
Inlet Pipe Productions,4,1.15,59.56,64
Krisztian Blaha,4,4.54,59.52,86
ArchDawn,4,3.0,59.21,23
MiCake,4,0.56,58.98,24
Alpheratz*,4,3.99,58.97,206
SYNERGY,4,0.61,58.78,51
QIPAWORLD,4,0.99,58.67,27
Guru Games,4,2.87,58.59,1486
Pudding,4,3.56,58.51,437
Jl Apps,4,1.54,58.08,35
9heads Game Studios,4,4.54,57.93,3945
Naps Team,4,12.49,57.76,399
Zemnott,4,4.49,57.72,123
Punch Punk Games,4,1.6,57.7,791
Zakroutil,4,0.65,57.69,26
Warlock Arts,4,3.49,57.68,82
Zombie Studios,4,2.57,57.61,3310
MAGIC Spell Studios,4,3.24,57.54,33
CGGAMES,4,0.89,57.52,135
Gaweb Studio,4,5.05,57.5,40
Shine Research,4,6.2,57.47,129
Andrew Augustine,4,0.74,57.45,46
Funcraft Games,4,3.99,57.38,160
4 I Lab,4,5.74,57.27,130
Crescent Moon Games,4,8.62,57.03,1113
Sunrise9,4,0.49,57.0,187
House of Tales,4,1.36,56.88,523
Deep Shadows Games,4,4.62,56.55,15
BrainStorming Team,4,0.49,56.31,277
Weston Bell-Geddes,4,3.0,56.28,5398
Little Green Men Games,4,4.03,56.27,8616
heyjeff,4,0.99,56.25,20
NeverNorthGames,4,3.87,56.06,25
Gametroleum,4,7.75,55.85,83
Stereo7 Games,4,1.99,55.83,270
Talentplace,4,0.49,55.64,3358
ChillFun,4,5.49,55.36,18
XREAL Games,4,9.12,55.31,5641
Iful GS,4,0.79,55.19,67
plyoung,4,4.74,55.0,42
Heaven Brotherhood,4,1.04,54.77,2391
sakastudio,4,0.86,54.72,80
Jakai,4,2.24,54.55,11
It Matters Games,4,2.24,54.39,67
Mikhail Maksimov,4,0.62,54.35,232
Arcupion Art,4,3.66,54.27,336
Kanuni Games OYUN YAZILIM VE PAZARLAMA Ticaret Limited Sirketi,4,6.99,54.16,11
G1 Playground,4,7.24,54.01,2563
Juri Schupilo,4,3.49,53.9,101
Marco Games,4,2.04,53.73,62
Vrai,4,2.74,53.48,99
Adam Thompson,4,1.87,53.47,69
Hidden Tower Studios,4,2.57,53.18,200
Atomic Jelly,4,1.06,53.03,679
Choloco,4,9.89,52.78,8
Conmtrast,4,0.51,52.78,22
Terfilis,4,2.99,52.78,22
Duck INC,4,0.99,52.38,21
Sugoi Yellow,4,5.0,52.23,89
Lesta Studio,4,1.19,51.84,1108
Yuiami Games,4,2.99,51.67,16
UG Virtual Reality Technology Co.,4,12.74,51.62,34
YAOYICHEN,4,6.24,51.39,32
Masangsoft,4,0.0,51.37,11425
Morgondag,4,3.73,51.21,357
Heartomics,4,1.49,51.2,180
Lorenzo Entertainment,4,10.49,50.96,297
QUIKGAMES,4,2.74,50.64,33
Colossal Wreck,4,1.94,50.56,498
HEXADRIVE Inc.,4,14.24,50.31,614
Jake Olson,4,2.24,50.11,187
Adam Avramov,4,1.99,50.0,2
Imprint Gaming,4,0.74,50.0,2
Tehawar,4,4.74,50.0,3
XIAOWUWEI,4,5.49,50.0,3
daminggede,4,2.39,50.0,8
krishGames,4,0.49,50.0,5
ryuukyuushi,4,1.74,50.0,2
周鹏飞,4,3.29,50.0,2
SOEDESCO,4,4.74,49.65,268
EskemaGames,4,2.09,49.64,21
MIGALOO GAMES,4,1.74,49.37,58
Trend Redaktions- und Verlagsgesellschaft mbH,4,31.99,49.3,118
Horrid Vision LLC,4,3.12,49.25,100
CREATIV GAME DEVELOPER LLC.,4,9.74,49.14,75
Go Play Games Ltd,4,6.25,49.09,175
元气工作室,4,1.12,49.09,7444
Kobra Studio,4,0.86,48.79,492
Reno Games,4,2.74,48.57,36
MMEU,4,1.09,47.62,834
One Face Studio,4,2.74,47.5,43
iEntertainment Network Inc,4,12.37,46.97,107
Not Awful Studio,4,0.25,46.95,136
Hero Games,4,2.44,46.88,86
Skobbejak Games,4,0.64,46.84,445
Alex Le Mesurier,4,2.43,46.67,8
Miga Games,4,8.54,46.5,39
Strawberry Game Studios,4,11.25,46.28,36
Jace Of Shadows Gaming LLC,4,2.52,46.25,12
Armando Rodrigues,4,0.59,45.83,15
Marco S Hampel,4,0.75,45.74,234
Softmind Ltd,4,6.74,45.56,167
GameArt Studio GmbH,4,2.54,45.55,307
TheMasterGames,4,3.49,45.38,20
Z-Software GmbH,4,1.29,45.01,178
Golden Pick Games,4,2.62,44.97,19
Spacefarer Games Limited,4,2.24,44.93,26
Cerevrum Inc.,4,6.74,44.7,30
Incandescent Workshop LLC,4,6.49,44.64,18
Eternity Studios,4,3.82,44.62,398
Starodymov,4,0.99,44.48,221
DnS Development,4,1.99,44.28,1445
Beyond Games,4,4.99,44.1,53
wraithgames,4,1.31,43.91,171
Waqudoo,4,4.99,43.75,7
Grove Street Games,4,3.99,43.57,174
Rafael Farias,4,0.49,43.2,226
Asylum Square,4,2.12,43.02,216
Adato Games,4,9.99,42.73,78
OurLastSpring,4,2.87,42.53,36
hubiao,4,0.92,42.09,92
GXPlay,4,2.21,41.67,10
Sand Table Software,4,14.24,41.67,23
Team6 Game Studios,4,19.37,41.62,328
PRO PLAYA DEV,4,1.84,41.46,33
ODBear Studios,4,4.24,41.29,46
Potato Games,4,2.48,41.16,207
Imran Arafat,4,11.99,40.65,135
Imaginary Conception,4,7.24,40.48,13
Josh Tam Universe,4,2.24,40.33,528
FoV,4,1.11,40.28,20
TheElvenTale Games,4,0.93,40.04,76
Coremedia,4,2.24,40.0,5
DogGottenGame,4,0.49,40.0,8
Gamma Ray Chamber,4,1.24,40.0,13
Studio Thug Life,4,13.74,39.88,36
Myarcadegames Studios,4,0.61,39.71,35
Project Whitecard Studios Inc.,4,4.99,39.4,387
Starmops,4,0.93,39.3,86
INDIEPLAY,4,2.49,39.17,16
CaliCosDev Studio,4,3.14,38.89,18
Deeber,4,1.99,38.89,6
Mage's Hat,4,1.58,38.89,8
Nincent,4,4.74,38.83,144
Enigma Entertainment,4,7.49,38.64,42
none,4,0.0,38.37,196
Vice Age,4,4.49,37.99,43
Prestige Games,4,8.49,37.59,27
Abyscon,4,2.24,37.56,22
Associazione Audiogames,4,2.99,37.5,11
Chocolate Ship Games,4,3.24,37.5,13
Patate Douce Studio,4,3.81,37.5,13
Magicvalley Studio,4,2.99,37.35,69
Blue panda Games,4,16.49,36.68,35
Crewxaa,4,0.86,35.98,40
Performance Artist Games,4,0.61,35.82,82
Inonia Games,4,11.49,35.19,15
iwangr,4,19.99,35.19,12
Mugle Studio,4,6.74,35.12,104
Imagitec,4,2.25,34.52,75
Ragdoll Inc,4,3.49,33.88,99
CRX Entertainment Pte Ltd,4,3.34,33.33,7
Cipher Hive,4,2.89,33.33,79
Lucky Duck Games,4,2.0,33.33,6
Oli Taylor,4,2.99,33.33,19
Dragons Eye Studio,4,3.56,33.0,74
Phantom Studio,4,5.94,32.35,44
GoodMood,4,0.92,32.08,47
Odin Game Studio,4,2.74,31.91,3593
SimplexGameStudio,4,2.37,31.7,41
Armagedoom Games,4,4.24,29.05,45
QUIKIN Games,4,0.99,28.49,99
Silistre Game,4,9.99,26.81,54
Falling Ninja Productions,4,4.74,26.79,13
evlavv_studio,4,1.99,26.57,99
Domynyo SRL,4,8.74,25.0,36
VladProduction,4,0.49,24.24,123
İNİTİUM STUDİO,4,2.39,23.33,32
West Forest Games,4,1.74,23.0,72
几几不小心,4,2.71,21.43,10
PotatoIndustries,4,2.49,20.57,102
nextjen,4,1.14,19.17,103
Avisgames,4,4.24,16.67,8
Ravar Shikin,4,8.74,16.67,4
Chickenpig Software,4,1.86,14.2,57
Coke Cat Studio,4,5.74,13.34,20
gtgame,4,4.49,12.5,6
Ballistic Machine,4,2.49,11.11,5
Hede Games,4,199.99,6.47,45
659 Records (PTY) LTD,4,1.54,0.0,1
Blacc Ski Weekend Industries,4,3.74,0.0,2
Chen Min,4,48.74,0.0,1
HipSoft,4,7.49,0.0,1
SoomkaGames,4,1.2,0.0,3
Zach Wise,4,0.49,0.0,1
ujumiru,4,2.5,0.0,1
AChat Animation Studios,4,6.25,,0
AL Studio,4,1.99,,0
Ace X,4,4.24,,0
Aleksa Racovic,4,0.8,,0
Alex8778,4,3.75,,0
Aquilon,4,4.34,,0
Avi Games,4,7.69,,0
Bad Dog Banjo,4,2.59,,0
Bad Kong Games,4,0.79,,0
Barji,4,0.0,,0
Barlow Games Ltd,4,0.0,,0
Bear in the Night,4,10.3,,0
Berk Kalfa,4,2.74,,0
Better Me Tree,4,10.62,,0
Bird Box Games,4,1.72,,0
BuuPink,4,2.45,,0
Byaka Games,4,4.37,,0
CGI LAB GAMES,4,1.52,,0
Candylight Studio,4,6.28,,0
CatBellUnion,4,2.0,,0
Cheese Burger Studio,4,8.56,,0
Chilled Out Duck Games,4,0.49,,0
CouraGGe ent.,4,54.99,,0
Cream Team,4,1.61,,0
DarkBasic,4,5.57,,0
Date Ariane Games,4,7.79,,0
Disaster Squad Productions,4,0.0,,0
DomiHorror Development Lab,4,7.74,,0
Droid Productions,4,9.18,,0
EMRE YARDIMCI,4,1.42,,0
ENF Stuff,4,3.49,,0
Elementarium games,4,0.56,,0
Erogenous Moonlight,4,1.18,,0
FTA GAMES,4,3.24,,0
Femdom studio,4,7.96,,0
Grim's Studio,4,1.94,,0
Hematite,4,2.87,,0
Huli,4,5.04,,0
JNT Games,4,3.0,,0
Kinky Fridays,4,6.27,,0
Lovely Girls Studio,4,0.49,,0
Lustful Fantasy,4,10.62,,0
Lustration Team,4,8.8,,0
MEYOSOFT,4,1.59,,0
MadDevStudios,4,2.74,,0
Matthew Weston,4,0.0,,0
Mr.H,4,4.09,,0
NFK Games,4,0.55,,0
Naelstrof,4,7.18,,0
Peach Beach,4,2.49,,0
PiggyNose Games,4,6.37,,0
R.H. Industries,4,0.24,,0
Real Girl VR,4,18.24,,0
RedHub VR,4,11.37,,0
RoyalCandy,4,0.8,,0
SawaiwaGame,4,1.74,,0
Secret Garden,4,5.85,,0
Sexy Dev!,4,1.59,,0
Sexy Hentai Games Factory,4,10.59,,0
Shmoops Games,4,1.67,,0
Space Samurai Studio,4,6.55,,0
Spectrum.Games International Ltd,4,0.0,,0
SubCulture Dev,4,0.59,,0
Sweet Cakes Games,4,8.8,,0
SweetGamez,4,2.99,,0
TailsUp4Tyranno,4,8.49,,0
TeamSnowball,4,1.92,,0
Ulimworks,4,6.24,,0
Vaggelis Arabatzoglou,4,1.05,,0
Vortex00,4,4.29,,0
Westernleaves,4,15.74,,0
Whimsical Universes,4,2.44,,0
WhiteCute,4,3.02,,0
Whiteleaf Studio,4,4.07,,0
XD,4,0.0,,0
Xoullion,4,7.17,,0
Yuliya Kovach,4,5.99,,0
ao-system,4,0.25,,0
aquma,4,2.55,,0
irisGameDev,4,8.24,,0
nonPareil Institute,4,0.0,,0
とらいあんぐる！,4,12.31,,0
ぬるぬる坊主,4,2.74,,0
はちみつそふと,4,2.49,,0
ハーフトーンドット,4,11.24,,0
一只迷路的羔羊,4,1.81,,0
十年,4,6.24,,0
愛上補習班,4,12.69,,0
渡里laboratory,4,16.43,,0
程进,4,3.67,,0
!CyberApex (SkagoGames),3,0.72,100.0,2
.ToNg,3,7.0,100.0,2
1st-impact co.,3,1.66,100.0,2
2GT,3,3.99,100.0,19
4WayStudio,3,1.41,100.0,16
9900Studio,3,1.07,100.0,14
AJ To The Moon,3,2.46,100.0,3
APOLLON COMPANY LIMITED,3,2.66,100.0,2
Abraham Eduardo Zarate Mejia,3,1.32,100.0,1
Aethvion,3,1.64,100.0,2
Akira Abe,3,4.02,100.0,4
Andreas Ammer,3,1.83,100.0,2
Arvis Games,3,3.33,100.0,8
AshumArcade,3,1.99,100.0,14
BD Studio Games,3,3.39,100.0,12
BLJ Games,3,4.06,100.0,4
Borealis,3,4.46,100.0,32
Bottled Starlight,3,6.66,100.0,22
Budai,3,0.66,100.0,7
Bug Bounty Games,3,1.66,100.0,2
Bullet Ant Games,3,1.79,100.0,10
C. Uriah,3,2.26,100.0,3
CGDC Community Game,3,0.0,100.0,5
CUPPAKILL,3,2.63,100.0,19
Calvin MacCaull,3,0.41,100.0,7
CapturedLeek27,3,4.66,100.0,2
Caseyfromspace,3,2.86,100.0,19
CharlyKuschel,3,0.99,100.0,5
Chibinomicon Games,3,3.74,100.0,6
Chocolate Bar Games,3,2.99,100.0,5
Cockroach Studio,3,2.16,100.0,3
Conifer Studios,3,0.83,100.0,14
CoreSprout Games,3,0.79,100.0,32
Creactstudios,3,5.0,100.0,2
CreakGames,3,1.79,100.0,5
Creatalsoftware Games,3,1.34,100.0,11
Crystalline Green Ltd.,3,2.97,100.0,7
Cynical Honey,3,4.19,100.0,9
Dahku,3,9.99,100.0,53
Daye Productions,3,2.56,100.0,13
Deeppink man,3,0.99,100.0,56
Demigrz,3,4.36,100.0,6
Dersty,3,9.02,100.0,1
Digital Integration,3,6.66,100.0,14
DiscoCarGames,3,1.99,100.0,19
Dog Dog Studios,3,0.33,100.0,1
Drone Garden Studios,3,1.96,100.0,11
Egg Fried Rice,3,27.99,100.0,8
Eirtep,3,2.66,100.0,4
Eisenstadt Studio,3,16.66,100.0,1
Elite Gorgon Games,3,3.59,100.0,2
Elmok,3,4.99,100.0,5
Elvio Lujan,3,21.32,100.0,6
Finnsoft,3,1.66,100.0,16
Flat2VR Studios,3,18.99,100.0,32
Freya Games,3,2.66,100.0,15
Funbang,3,1.96,100.0,18
Funigami,3,2.2,100.0,12
FuzzyCube,3,6.66,100.0,4
Gavin Rector,3,2.33,100.0,1
Geniteam Solutions,3,0.66,100.0,4
Gomashio,3,5.32,100.0,3
GortagonGame,3,2.19,100.0,1
Green Onion Games,3,2.99,100.0,10
GreenBranchGames,3,54.99,100.0,3
Grid Kid Games,3,2.66,100.0,7
Grow Now!,3,1.76,100.0,18
Growing Seed Games,3,5.32,100.0,22
Guan Yue,3,22.32,100.0,2
HAIM,3,2.22,100.0,12
HeidenGames,3,1.66,100.0,24
Home Works,3,0.66,100.0,2
Hot Pizza Games,3,0.66,100.0,2
Imperiarte Games,3,3.96,100.0,6
Independencegamesdeveloper,3,1.01,100.0,1
Indion,3,2.39,100.0,4
Interactive Dreams,3,1.59,100.0,25
Intrugli Games,3,1.33,100.0,13
Ismael Rodriguez,3,2.49,100.0,167
JKK_WORKS,3,4.32,100.0,4
JT Mitchell,3,3.33,100.0,11
Joseph Dragon Dalman,3,0.83,100.0,2
Jungwoo Yom,3,3.66,100.0,10
Kkyul,3,50.66,100.0,1
Kman Studios,3,14.99,100.0,1
Komodor Games,3,1.32,100.0,1
KurokumaSoft,3,2.27,100.0,7
L42 STUDIOS,3,1.99,100.0,2
LaRay Games,3,2.52,100.0,2
Lime Blossom Studio,3,2.62,100.0,23
Logisk Studio Inc.,3,4.66,100.0,26
Lucius Braunstein,3,2.99,100.0,10
LumiMaker,3,7.14,100.0,2
Mad Mango Games,3,4.91,100.0,15
Maid Games,3,6.32,100.0,2
Malte Lehmann,3,3.87,100.0,19
Mardozux Studio,3,3.32,100.0,2
Matt McGreevy,3,0.36,100.0,2
McCollum Games,3,2.79,100.0,9
Mecha Rhino,3,5.16,100.0,1
Mediakomp,3,4.99,100.0,1
Metgan Games,3,5.86,100.0,7
Miami Game Design Club,3,0.0,100.0,4
Mr iLyn.,3,3.99,100.0,2
Mysterious,3,8.66,100.0,1
Māris Ozols,3,7.49,100.0,12
N11 Games Division,3,1.6,100.0,11
NIGHTCREW,3,1.09,100.0,7
Neonian Games,3,1.66,100.0,1
Nils Crettenand,3,1.99,100.0,1
Ninja Gamer Studio,3,1.99,100.0,33
Nivnan,3,1.33,100.0,5
OA GAME STUDIO,3,1.99,100.0,7
OP37K,3,0.33,100.0,21
Orca Virtual,3,2.99,100.0,1
Parsec Productions,3,4.31,100.0,17
Paul Bischoff,3,1.93,100.0,23
Peter Manfreda,3,8.32,100.0,1
Pinebud Games,3,2.09,100.0,6
Pirate Dog Games,3,1.09,100.0,2
Play With Fire UG,3,6.66,100.0,2
Poccade LLC,3,1.33,100.0,2
Powergames1142,3,6.39,100.0,2
Priyam Jain,3,5.59,100.0,2
ProgenitorWorks,3,0.79,100.0,8
PsychoSeel,3,2.66,100.0,44
Pumancz,3,2.93,100.0,5
Pyrebug Studios,3,1.99,100.0,18
R.J. Brontsema,3,2.41,100.0,5
Radikate,3,3.96,100.0,6
Randy Becker,3,4.49,100.0,27
Ravi Gyani,3,8.99,100.0,7
Relevation Studios,3,0.49,100.0,1
Richard Edwards,3,4.99,100.0,18
RoamingPoetXi,3,1.46,100.0,4
Robert Morgan,3,8.62,100.0,15
S1im Software,3,1.82,100.0,20
SG Entertech,3,1.59,100.0,1
SPRITE!,3,1.16,100.0,3
Sacred Star Team,3,10.99,100.0,3
Sawyer Friend,3,8.14,100.0,11
Screenshakes,3,6.66,100.0,2
SeventyFour Productions,3,1.0,100.0,1
Simcoach Games,3,8.32,100.0,2
Siso,3,1.66,100.0,1
Skill Prepare,3,12.66,100.0,1
Sky Bear Games,3,10.32,100.0,23
Sleeper Build Studio,3,2.74,100.0,16
Snowdrop Lab,3,1.32,100.0,7
Softdisk,3,2.96,100.0,7
SoulBattery,3,4.99,100.0,5
Spaceboy,3,6.66,100.0,17
Spacepiano Games,3,5.07,100.0,30
StarvingFox Studio,3,2.33,100.0,18
Studio Prime LLC,3,3.66,100.0,4
Sunil Sutariya,3,2.26,100.0,2
Sunrealm Studios,3,2.59,100.0,4
Sweet Heaven,3,6.66,100.0,7
Switchback Studio,3,3.36,100.0,67
T.E.R. Yarally,3,1.59,100.0,2
TAPROMANCE,3,5.94,100.0,6
The Thinker Cat,3,13.57,100.0,6
Tiramisu,3,10.22,100.0,3
Tomasz Banaś,3,1.0,100.0,2
Torii Gate Studios,3,5.49,100.0,3
TrickBunny,3,1.79,100.0,7
Triple Eye Games,3,3.59,100.0,8
ULLUCUS HEAVEN Inc.,3,4.59,100.0,1
Ugly Zebra Interactive,3,1.99,100.0,2
Unseelie Count,3,8.99,100.0,1
Uranus-net.com,3,3.22,100.0,4
UrbanWanderer,3,2.41,100.0,5
Velest,3,0.89,100.0,24
Virtual Dawn,3,2.74,100.0,10
WJLE,3,5.32,100.0,29
WOMBEX Games,3,0.4,100.0,18
William Jones,3,1.66,100.0,1
Wonderbounce Games,3,5.41,100.0,3
Wonderthing,3,0.99,100.0,12
Wyatt Yeong,3,12.66,100.0,21
Wynand Smit,3,6.82,100.0,1
XYZStudio,3,8.33,100.0,5
Xander Clinthorne,3,2.42,100.0,18
Xavier Bell,3,0.46,100.0,12
YKey Games,3,4.44,100.0,3
YamiToast,3,3.19,100.0,4
Yo!Games,3,1.39,100.0,3
Yukinoshin,3,3.99,100.0,8
ZynGms,3,9.32,100.0,7
_badger,3,1.66,100.0,6
arydk,3,3.51,100.0,21
beepsoft industries,3,0.69,100.0,22
blooming spectrum,3,16.49,100.0,7
cGh ONE,3,3.99,100.0,19
elcanogames,3,7.32,100.0,3
emagnetic,3,0.0,100.0,2
forefinger,3,6.32,100.0,1
halvardo13,3,1.99,100.0,10
indigo game production,3,3.19,100.0,3
kartyd,3,6.33,100.0,6
meLtRoman,3,0.0,100.0,25
pedritosgameplay,3,0.91,100.0,1
prophecy,3,9.66,100.0,2
upmupm420,3,1.92,100.0,7
ファントムゾーン観測室,3,9.7,100.0,2
广州雷氪沉浸技术有限公司,3,1.83,100.0,18
蛋炒饭,3,0.99,100.0,10
あうとさいど,3,6.96,99.76,338
Alexander Lahti,3,2.11,99.53,135
デジメカ製作所,3,0.99,99.16,85
Chris Danelon,3,6.59,99.11,267
KayAnimate,3,0.0,99.04,37986
Virgula Leal,3,1.96,98.83,1205
Elendow,3,1.69,98.81,113
Jupiter Corporation,3,13.32,98.81,332
Stepford,3,1.0,98.76,3219
NDOgames,3,0.72,98.75,174
zakichi,3,2.04,98.74,116
Shark and Pelican Games,3,1.99,98.73,137
Flipline Studios,3,4.79,98.64,14671
MOKKOGRAD,3,7.72,98.61,50
Myke Wills,3,2.09,98.61,37
Denki Gaka,3,2.66,98.55,30
sTeloXz,3,1.59,98.48,36
柚原堂,3,3.06,98.48,482
Bakumatsu Games,3,4.32,98.46,93
Ryclaw Games,3,0.52,98.41,34
SimaGames,3,4.16,98.38,41
EverCats,3,0.69,98.35,1536
ShmoeSoft,3,2.33,98.31,68
羽良麻セルフ,3,1.74,98.28,1177
HIROKO IMAKI,3,0.53,98.27,2824
WarMachine,3,4.99,98.27,103
Loquendero Dev,3,2.0,98.15,35
Silvercity Sharks,3,1.16,98.15,60
SuspiciousMosquito,3,1.22,98.15,36
Jofini,3,3.33,98.08,30
LIFE0,3,12.16,97.99,425
LimboLane,3,6.59,97.95,3991
Mad Jackal Games,3,2.32,97.92,35
Philipp Lehner,3,5.36,97.91,62
Starmage,3,4.49,97.91,32
Tambouille,3,4.26,97.9,1132
Toblue,3,6.12,97.85,34
veryOK,3,8.99,97.8,143
Studio Gauntlet,3,3.07,97.79,490
Alexandre Yoshinaga,3,0.77,97.78,19
InkForge Studios,3,2.52,97.78,70
Metehan SENER,3,1.17,97.78,25
Finger tip,3,1.82,97.68,86
Copperbolt,3,1.33,97.66,372
ln404,3,0.66,97.64,644
Andrew Nutter666 Jaggar,3,0.41,97.62,45
Radiant Sloth,3,2.67,97.62,18
Robert Wahler,3,0.95,97.62,614
Southern Vermilion Bird,3,0.76,97.62,29
nobones,3,1.86,97.62,48
Doot,3,2.89,97.61,6714
Tim Beaudet,3,6.92,97.59,155
Lonely Deckchair,3,2.32,97.5,26
PhijkchuGames,3,1.09,97.5,45
Goca Games,3,3.76,97.44,32
Panitia GameDev,3,3.25,97.4,385
takayakata,3,5.06,97.39,672
Lab Rabbit Games ltd,3,4.27,97.37,85
Con Man Games,3,8.66,97.3,13709
taxicomics,3,3.66,97.3,44
Night Steed Games,3,4.22,97.27,82
Retsu Teikoku,3,1.19,97.27,131
Carson Kompon,3,0.0,97.22,36
Basement Games,3,2.02,97.16,94
TYPE-MOON,3,22.99,97.13,8609
Square Weasel Studio,3,4.1,97.12,139
CheapeeSoft Games,3,2.29,97.1,51
Guara Studios,3,2.06,97.1,96
Skunkape Games,3,11.66,97.09,2419
Banshee Cat,3,3.99,97.06,51
Friendly Fire Software,3,0.53,97.06,48
Haska Su,3,0.6,97.06,21
Elliott Dahle,3,0.33,97.01,67
Gg,3,1.33,96.97,34
Kyle Thompson,3,8.66,96.97,4042
ZUGALU ENTERTAINMENT,3,0.99,96.97,20
boxedworks,3,0.83,96.97,70
べすとまん,3,5.12,96.97,76
Krish Shrikumar,3,9.33,96.94,1204
Ludokultur,3,1.65,96.94,562
Eduard Georgiev,3,0.58,96.88,66
Andrea Demetrio,3,0.41,96.86,273
Connection,3,10.26,96.86,159
Asephy,3,1.93,96.85,1049
Amir Rajan,3,5.32,96.83,46
turbolento games,3,3.46,96.71,17990
AMGames TC,3,12.99,96.67,104
Small is Beautiful Studio inc.,3,1.89,96.67,33
anthund,3,1.39,96.67,79
Garoa Studios,3,3.54,96.66,225
ツノウサギの家,3,2.99,96.66,26
Qruppo,3,13.32,96.64,5901
dustinaux,3,0.96,96.64,830
sodaraptor,3,6.92,96.63,1388
#workshop,3,2.35,96.61,9488
Cerasus,3,5.47,96.49,45
Akabaka,3,3.49,96.47,3829
Unison Shift: Blossom,3,9.32,96.46,126
Iced Lizard Games,3,4.94,96.45,253
Cactus VR Studios,3,0.5,96.43,28
Flyover Games,3,5.32,96.43,32
Hamdan Hamid,3,2.16,96.43,41
Override,3,0.0,96.43,27
CAVE Interactive CO.,3,8.16,96.42,2929
StellarXiela,3,5.29,96.41,415
Pugstorm,3,9.16,96.35,55215
Indispensable Studios,3,8.32,96.3,21
Team-K,3,2.16,96.3,11
Mika Mobile,3,3.82,96.26,1886
Isaac Andrews,3,2.37,96.25,54
Grabba Guild Games LLC,3,5.5,96.18,154
Short Circuit Studios,3,3.36,96.18,127
Milkbag Games,3,3.82,96.17,206
JumpBig Co.,3,1.02,96.16,33
RH POSITIVE,3,1.26,96.16,18
DarkChibiShadow,3,1.66,96.15,26
JFxGames,3,0.0,96.14,193
Goloso Games,3,2.74,96.13,525
Blazing Nebula,3,7.66,96.08,27
Corey Martin,3,3.57,96.07,625
Dan Schumacher,3,4.19,96.06,57
Mike Klubnika,3,1.39,96.03,95541
mirai,3,9.99,96.0,132
girl software,3,3.66,95.99,146
Fiendish Fiction,3,1.16,95.94,58
Unikgame,3,6.32,95.92,128
Orchid of Redemption,3,9.74,95.9,49
Jack Astral,3,2.59,95.87,56
Madison Karrh,3,1.63,95.86,4415
Rombo,3,2.11,95.86,182
Mercimek Games,3,2.32,95.84,18
Yrbiax,3,2.07,95.84,35
Clyde Smets,3,1.12,95.83,12
IdunaSoft,3,1.19,95.83,87
JOIS Games,3,5.66,95.83,26
Marmalade,3,19.66,95.82,70
Onix Games,3,1.95,95.78,684
Roaming of Little Hammer,3,5.99,95.75,101
LM Games Studio,3,0.79,95.72,134
Never Knows Best,3,8.49,95.72,5212
Spacezero Interactive,3,3.24,95.69,266
Alex Djenkov,3,0.66,95.65,23
BOV,3,4.82,95.65,383
Goldarait,3,1.54,95.65,99
tinybugbot,3,1.66,95.65,25
狐狸博士 Dr.Fox,3,3.61,95.65,25
Fuz Games,3,3.99,95.63,344
Clecota Games,3,4.32,95.61,51
Coreffect Interactive,3,5.73,95.6,479
SoulGame Studio,3,7.57,95.59,11423
AstralSeal,3,4.53,95.56,90
Grace Bruxner,3,2.74,95.55,8852
Duaik Entretenimento,3,5.16,95.53,125
八名木Games,3,6.53,95.53,6652
Applique,3,8.85,95.51,4417
yevhen8,3,8.16,95.5,7193
OAKgames,3,3.33,95.45,26
h.a.n.d.,3,11.39,95.44,11478
Spooky Doorway,3,9.49,95.41,6440
Daniel Mullins Games,3,3.57,95.4,154029
Ephiam,3,4.47,95.4,218
NOVECT,3,10.66,95.4,6861
Sebastian Lind,3,2.46,95.38,33
REMBOT GAMES,3,4.66,95.35,82
Mateusz Skutnik,3,14.57,95.31,1794
Reky Studios,3,10.16,95.31,910
馆叔,3,5.33,95.29,1050
Alexander Voidoc,3,2.99,95.24,37
Andrew Connelly,3,0.83,95.24,16
Santaworks,3,2.32,95.24,14
Teleport Games,3,5.82,95.24,39
