developer,total_games,avg_price_usd,avg_positive_review_percentage,total_reviews
XSGames,20,2.9,54.0,84
Black Hole,20,1.84,,0
CodeRenderX,20,7.77,,0
Teamey,19,0.0,94.49,2340
Adamvision Studios,19,1.38,90.63,13359
Ryu Ga Gotoku Studio,19,11.65,90.23,237147
Green Sauce Games,19,2.62,88.56,856
Epyx,19,5.78,83.01,594
Double Fine Productions,19,4.89,82.59,93593
CREATIVE ASSEMBLY,19,8.02,81.6,750464
Dr. Cyril Splutterworth,19,1.29,79.23,403
Pixel Puzzles,19,0.34,78.6,9311
Orangepixel,19,3.03,72.2,568
Catnip studio,19,1.29,71.53,31
Tamashii,19,2.04,70.07,113
FreeMind S.A.,19,4.41,69.49,5451
Gogii Games,19,1.22,66.66,2885
Rokito Games,19,0.49,63.24,134
Stas Paty9mkin,19,0.97,60.23,353
Romantic Room,19,2.15,55.93,895
Totem Games,19,2.22,53.97,421
wow wow Games,19,3.68,49.22,183
VikTor,19,0.55,37.01,866
430Games,19,1.54,,0
Pirates Of The Digital Sea,19,1.64,,0
Sexy Baguette Studio,19,1.75,,0
上海アリス幻樂団,18,13.88,94.98,14333
UNICO INC.,18,16.74,93.33,171
GZ Storm,18,0.69,89.68,1142
Sigyaad Team,18,1.35,88.61,6794
Gremlin Graphics,18,3.93,87.9,33
Vaka Game Magazine,18,5.24,87.3,7596
Bitwave Games,18,3.8,86.13,797
Cotton Game,18,3.24,85.43,4092
Obsidian Entertainment,18,13.07,82.46,525910
Marvelous Inc.,18,18.12,81.17,30650
Digital Eclipse,18,15.35,80.69,7294
Paradox Development Studio,18,6.06,78.77,971491
KIMIDORI SOFT,18,2.33,76.86,1688
616 GAMES,18,2.44,76.73,2116
Gearbox Software,18,9.37,76.72,615500
Peaksel,18,2.17,74.77,1690
Wales Interactive,18,3.89,72.88,19187
Norn,18,5.5,68.43,408
Euphoric Brothers,18,2.16,67.07,28756
GiBar,18,0.81,66.27,377
Forever Entertainment S. A.,18,2.27,63.76,9149
Louie Inc,18,3.82,61.11,391
Anima Games,18,2.79,60.61,47
Succubella Games,18,1.84,38.37,171
cBlck,18,0.87,37.06,162
Lesson of Passion,18,3.69,,0
SmoGames Studio,18,0.99,,0
htaidisgust,18,0.63,,0
Andy Jurko,17,2.09,95.83,145
Minicactus Games,17,1.06,91.3,1087
MixoGames Ltd.,17,5.87,91.0,87
Renegade Sector Games,17,2.93,88.46,474
Dire Wolf,17,8.0,87.81,20017
Haemimont Games,17,8.87,84.48,89818
10tons Ltd,17,4.21,83.39,10354
Digital Melody,17,2.28,83.34,16965
Artifex Mundi,17,3.32,82.36,15680
Wholetone Games,17,2.72,79.83,2236
DSGame,17,2.11,77.8,40360
Soomka Games,17,2.67,76.39,20
FreeAnimals_Software,17,1.94,76.19,450
GrandMa Studios,17,7.49,75.0,4
Frogwares,17,2.31,73.79,40235
SEGA,17,7.46,73.62,123131
SVGames,17,3.51,73.33,665
T-Time Technology CO.,17,4.21,72.22,1932
Max Pedro,17,4.85,71.2,289
Easy game,17,0.49,71.17,5871
Team Syukino,17,1.93,70.47,343
Bohemia Interactive,17,5.06,69.01,794355
David Mulder,17,0.36,66.85,1210
Seito Games,17,0.98,66.78,344
Vitok,17,5.99,61.28,199
LillyWelland inc.,17,0.53,57.71,848
Kadragon,17,3.4,54.34,706
Doky,17,5.76,43.71,55
YAO,17,5.99,37.5,6
Pix Arts,17,3.34,30.21,63
PinkySoul,17,1.99,,0
Dirty Fox Games,16,1.66,97.56,164
Yaeko,16,3.27,96.28,598
Whirlpool,16,5.49,94.5,2739
Nukearts Studio,16,2.39,94.38,2579
Zachtronics,16,5.93,91.39,30745
Magic Cat,16,2.41,89.24,116
Byking RooKIES,16,0.0,88.36,68
Sons of Welder,16,0.99,88.29,208
ATLUS,16,17.3,87.05,310912
YAW Studios,16,1.12,86.78,1140
DreamBig Games,16,6.93,86.37,24
qureate,16,9.13,79.36,2950
SC Jogos,16,0.49,78.59,15048
