developer,total_games,avg_positive_review_percentage,total_reviews
Midnight Games,3,73.51,1673
Screwfly Studios,5,73.5,893
UL,3,73.5,603
Chilla's Art,26,73.48,19691
ThinkOfGames,7,73.43,2278
KishMish Games,5,73.38,5648
AQUASTYLE,4,73.38,2544
Bloody Pixel Games,3,73.37,1296
Geoff Keighley,4,73.32,2201
Ivanovich Games,8,73.31,1333
Tribute Games Inc.,7,73.29,18831
Funatics Software,4,73.28,3446
Game-Labs,6,73.27,25170
Brilliant Game Studios,3,73.27,19746
Wales Interactive,17,73.25,19166
White Paper Games,3,73.25,1155
Survios,9,73.24,8473
Ocean Drive Studio,3,73.22,3184
Tiny Roar,3,73.16,1103
The Farm 51,7,73.15,25616
七彩绘色游戏,4,73.12,930
Chainsawesome Games,3,73.11,697
GSC Game World,16,73.1,243657
Out of the Park Developments,9,73.07,1902
Mode 7,3,73.05,3108
DarkBasicSoftwareLimited,3,73.05,2542
M. Hanka,4,73.05,2036
IO Interactive,3,73.04,16745
Supermassive Games,6,73.02,57815
Mad Head Games,3,73.02,6666
Blindflug Studios AG,3,73.02,2148
Creative Assembly,3,72.97,75100
PopTop,3,72.97,2623
Deep Silver Volition,4,72.93,94840
Elephant Games,5,72.88,1177
Render System,3,72.87,205
Ankama Studio,7,72.86,12813
RIVERSIDE SPORTS,6,72.85,5311
3 Sprockets,3,72.84,2074
CUTE ANIME GIRLS,16,72.83,7686
Funny Games,3,72.83,970
Fleon Games,3,72.82,733
Quicksilver Software,3,72.82,318
Vona Soft,3,72.72,1127
AK Studio,5,72.72,605
Targem Games,13,72.71,72066
BufoProject,5,72.71,465
Tuomo Laine,4,72.71,390
VD Games,7,72.69,3008
FireFly Studios,3,72.67,6196
Teyon,6,72.65,39974
Psytec Games Ltd,3,72.63,1403
L&P,6,72.63,1009
Creative Storm Entertainment,4,72.58,1382
Shenandoah Studio,3,72.58,319
1C:InoCo,3,72.52,2867
Gremlin Interactive,5,72.51,1874
XGen Studios,4,72.5,2203
Yiming,3,72.5,1007
Satur Entertainment,8,72.48,2184
PlayFirst,3,72.47,477
Alda Games,5,72.43,15893
Ground Shatter,5,72.43,5302
Silver Cow Studio,3,72.38,254
Big Fish Studios,3,72.34,346
Lock 'n Load Publishing,3,72.29,696
4HEAD Studios,3,72.27,1615
FreeMind S.A.,10,72.26,5389
▲ Pyramid Games,7,72.25,5916
OMNIDREAM CREATIONS,3,72.24,307
IndieGala,5,72.21,2739
Vidas Salavejus,3,72.21,553
Shiver Games,4,72.2,14527
Dovetail Games,15,72.19,116694
Pinokl Games,3,72.19,14921
Blowfish Studios,3,72.19,1474
Rhombico Games,3,72.18,1543
Angry games,4,72.16,344
Smilegate,3,72.13,1387
Carrot Studios,3,72.13,312
Digital Eel,4,72.11,1036
FreezeNova,15,72.08,6396
XOCUS,5,72.07,407
Torus Games,6,72.05,2587
MY.GAMES,5,72.03,112912
N-Tri Studio,4,72.02,273
Toxic Studio,3,72.0,458
AdroVGames,4,71.99,2189
CCYY,3,71.98,249
EGAMER,19,71.96,11005
YUKE'S,4,71.96,3943
Tonguç Bodur,20,71.94,5253
Hi-Rez Studios,3,71.93,11137
Nonadecimal Creative,3,71.92,841
Screambox Studio,3,71.91,847
Red Limb Studio,5,71.87,1506
NLB project,3,71.86,483
Eclipse Games,4,71.83,766
CINEMAX GAMES,8,71.8,2385
MYSTERY CROWN,3,71.8,790
REVVALUTION Studio,6,71.75,954
Ice Code Games,4,71.74,4084
Thorne Games,3,71.71,488
Rideon,3,71.7,292
Atomic Wolf,4,71.69,1431
Wingjoy Games,3,71.69,1177
Ironward,3,71.66,6037
btf,3,71.66,2412
Black Forest Games,8,71.65,18422
Fast Travel Games,4,71.65,690
YDKR,3,71.63,1340
ChillyRoom,4,71.57,6407
Krealit,3,71.53,2313
Nauris Amatnieks,3,71.53,411
Easy game,15,71.47,5853
Desert Owl Games LLC,3,71.47,1385
Reine Works,4,71.46,411
Avalon Digital,4,71.45,346
Sand Sailor Studio,3,71.44,9073
Wenkly Studio Sp. z o.o.,4,71.43,1056
SP-time,3,71.42,2576
DuCats Games Studio,3,71.42,544
Egosoft,8,71.41,35866
Microblast Games,7,71.4,16428
Flump Studios,4,71.39,1333
Archive Entertainment,4,71.35,4681
Chasing Carrots,4,71.34,32044
Fancy Bytes,3,71.32,1505
Blackbird Interactive,4,71.27,37510
Artur Rezende,3,71.26,257
Whale Rock Games,14,71.23,4342
HandyGames,9,71.2,2753
Storm in a Teacup,5,71.2,1799
Stas Shostak,4,71.2,1376
HB Studios,4,71.19,9189
NeocoreGames,12,71.18,52508
Ricardo Pratas,3,71.15,334
Frogwares,14,71.14,40152
Digitalmindsoft,4,71.12,73792
Star Drifters,4,71.12,2952
Zoë Mode,3,71.12,1703
PersonaeGame Studio,3,71.11,5520
Mighty Rabbit Studios,3,71.11,3835
BULKHEAD,4,71.06,24753
HFM Games,13,71.05,63023
Byte Barrel,3,71.04,6607
Santa Ragione,4,71.03,1715
Days of Wonder,3,71.0,3391
Deep Shadows,3,70.98,547
Fun Infused Games,3,70.97,268
MoeGame,3,70.94,2623
Sproing,5,70.88,1064
Ominous Entertainment,5,70.88,519
phime studio LLC,3,70.88,263
The 3DO Company,4,70.87,440
Criterion Games,3,70.84,81209
GTGD,3,70.82,730
Iron Galaxy Studios,4,70.81,9230
Fire Hose Games,4,70.81,3637
One Up Plus Entertainment,3,70.76,704
AFBIK Studio,8,70.75,1640
Stardock Entertainment,14,70.7,26767
Seaven Studio,3,70.64,922
DangerousBob Studio LLC,4,70.63,423
NetEase Games,3,70.56,290666
Lighthouse Games Studio,5,70.54,12978
Kerberos Productions Inc.,5,70.52,1593
YFC games,4,70.52,1457
Mzonestudio,5,70.52,430
Accolade,4,70.5,563
Blue Sunset Games,4,70.48,471
CFK Co.,9,70.41,3504
ACQUIRE Corp.,14,70.38,8888
NewWestGames,3,70.37,426
P.+,3,70.36,477
Shiny Entertainment,5,70.34,1307
Polyslash,4,70.33,3056
Fabio Ferrara,11,70.26,15347
Gentlymad Studios,4,70.19,11251
Cryptic Sea,3,70.19,3911
Adam DeLease,4,70.18,709
Torn Banner Studios,3,70.17,128920
Chard,3,70.17,294
KT Racing,11,70.16,37956
PanGuoJun,5,70.16,610
Colossal Order,4,70.1,352844
Dharker Studios,17,70.09,3816
Zoo Corporation,11,70.08,5430
Puuba,3,70.08,564
SkyRiver Studios,3,70.01,679
okyakusama,8,69.99,680
White Rabbit Games,3,69.96,441
Behaviour Interactive Inc.,6,69.95,803204
ROSEVERTE,4,69.93,367
Astronomic Games,8,69.92,1585
Spiders,7,69.91,36311
KolbasinoGames,3,69.9,393
Gameloft,5,69.89,27080
Studio Wildcard,3,69.77,817857
Chromatic Games,4,69.73,44920
Auroch Digital,9,69.71,20583
Kadragon,6,69.64,519
Bossa Studios,11,69.63,37883
Volens Nolens Games,22,69.62,6047
Monte Cristo,3,69.58,467
Cheesecake Dev,8,69.51,38049
Pixellore Inc,3,69.51,2047
Kheops Studio,3,69.5,1239
Most Wanted Entertainment,3,69.5,1209
3dm_live_wallpapers,7,69.49,1882
BekkerDev Studio,5,69.46,705
Upstream Arcade,3,69.45,2814
Maximum Entertainment,3,69.45,370
Crian Soft,4,69.44,1797
Blender Games,26,69.42,4350
Dimps Corporation,5,69.37,30799
David Mulder,6,69.36,992
Thirdverse,4,69.35,618
Fatshark,8,69.33,273040
Cobra Mobile,6,69.32,1804
Pyrodactyl,3,69.27,538
Stormind Games,4,69.26,5399
Stormling Studios,5,69.25,3471
Shaman Games Studio,8,69.25,1336
Sergey Bobrov,3,69.25,252
Streum On Studio,4,69.2,30813
Gamera Interactive,3,69.11,1474
BattleGoat Studios,5,69.09,2359
34BigThings srl,7,69.05,10068
Igor Krutov,3,69.03,1454
Himalaya Studios,3,69.02,278
Bohemia Interactive,17,69.01,794355
Kerberos Productions,4,69.01,2818
Axis Games,9,68.97,1716
PsychoRavens,3,68.94,771
Ritual Games,4,68.9,439
Digital Leisure Inc.,6,68.88,6698
3DClouds,9,68.83,2244
Rage Software,6,68.81,2274
Mi-Clos Studio,3,68.8,3253
Arcen Games,12,68.79,7318
Ripstone,3,68.78,2884
ARTDINK,6,68.77,6338
raptor lab,5,68.76,4060
CreaTeam,3,68.76,400
SCT,3,68.72,3264
Snkl Studio,16,68.72,2382
Madmind Studio,3,68.69,13122
DRAGO entertainment,4,68.64,28336
stillalive studios,9,68.64,25825
Soccer Manager Ltd,6,68.58,3143
Reverie World Studios,7,68.57,8513
TickTock Games,3,68.53,2097
Glass Bottom Games,3,68.52,1202
Iceflake Studios,4,68.44,6171
Norn,3,68.43,408
Fair Games Studio,3,68.4,1129
Guilty Pleasure Games,8,68.39,2521
John Wizard,5,68.38,522
City Interactive S.A.,10,68.28,1619
Sapphire Dragon Productions,10,68.24,1324
Ubisoft Toronto,4,68.23,57459
Maze Theory,3,68.2,1036
Dark Gaia Studios,4,68.15,365
Astralis Games,3,68.11,648
Splash Damage,5,68.06,84469
First Games Interactive,4,67.97,365
Infinite Interactive,6,67.96,3095
PlayTogether Studio,3,67.95,1347
Evil Twin Artworks,3,67.94,1279
DigitalDNA Games,3,67.92,11179
AtomicTorch Studio,3,67.91,7142
Cyanide Studios,6,67.71,15013
Aesir Interactive,6,67.68,21491
TUTGame,3,67.66,4078
RunServer,5,67.63,852
RewindApp,45,67.57,32188
Tort,4,67.52,452
LTZinc,7,67.48,559
Shotx,4,67.44,357
indie_games_studio,4,67.4,1003
Mandragora,4,67.37,9712
Cradle Games,3,67.35,5131
M11 Studio,3,67.33,463
Woodland Games,3,67.23,2544
FarSight Studios,5,67.21,4739
Limbic Entertainment,4,67.19,36771
Tindalos Interactive,4,67.19,32497
HA Studio Ltd.,5,67.19,990
devotid,3,67.15,5729
Ino-Co Plus,5,67.15,4706
AbstractArt,3,67.14,3997
Live Motion Games,8,67.09,8930
Cyanide Studio,30,67.07,49374
Euphoric Brothers,11,67.07,28756
Spellbook,4,67.07,852
Bit Planet Games,4,67.07,721
N3V Games,9,66.96,7998
Hangar 13,4,66.95,181863
Cateia Games,9,66.95,912
Mass Creation,4,66.91,1881
Winter Wolves,18,66.9,2527
Timberwolf Studios,3,66.77,275
Expansive Worlds,4,66.76,231632
Nuno Donato,3,66.76,700
ASK_GAMES,5,66.75,739
AQURIA Co.,3,66.72,9326
Thousand Games,3,66.71,300
GoldenGod Games,3,66.7,413
Rosa Special Studio,4,66.68,1074
Gogii Games,19,66.66,2885
Overaction Game Studio,3,66.65,237
IR Studio,4,66.59,578
Artefacts Studio,13,66.57,51278
Tarba Paul Cornel,5,66.53,316
Legend Studio,5,66.52,5418
Bashir ManliestDev Kashalo,3,66.52,597
Codemasters,8,66.5,109142
Underbite Games,3,66.48,476
Waraní Studios,3,66.47,176
Dogenzaka Lab,10,66.44,1873
Darius Bode,3,66.34,785
Hanabira,3,66.32,572
Kyy Games,5,66.31,3297
Game Studio Inc.,3,66.3,3437
Positech Games,8,66.2,18174
Twin Sails Interactive,3,66.07,1604
CreativeForge Games,4,66.06,10800
Drakkar Dev,3,66.06,474
Abstraction Games,4,66.03,6279
Absolutist Ltd.,5,66.02,656
Spellbound,8,65.93,8868
Somer Games,3,65.92,616
Soleil Ltd.,3,65.87,58028
DIGIDICED,8,65.87,1653
Ageod,6,65.81,1737
Storming Tech,3,65.81,245
Jason Rohrer,3,65.8,4883
Blaze Epic,5,65.78,424
Serious Games Interactive,5,65.77,742
Kiddy,20,65.62,9492
滑稽工作室,3,65.56,9566
b-alive gmbh,7,65.5,1460
Umix Studios,5,65.36,654
Code}{atch,3,65.33,18018
Eidos Montreal,4,65.25,69617
Wojciech Krupinski,3,65.23,352
Deck 13,4,65.22,1214
Novalink,5,65.15,54093
Gattai Games,3,65.11,849
William at Oxford,3,65.11,348
Space Boat Studios,3,65.08,4287
JoyBits Ltd.,7,65.08,3032
Egor Magurin,3,65.08,2281
DeXP,3,65.05,1648
VALOFE,7,65.04,130499
ZeroBit Games,3,65.03,1086
Movavi Software,5,65.0,973
Big Ant Studios,15,64.99,12939
UPLAY Online,4,64.95,18593
Tokyo RPG Factory,3,64.94,2273
Autotelic Games LLC,4,64.92,884
Ubisoft Romania,3,64.91,3833
Zeiva Inc,3,64.9,1698
CyberStep,3,64.86,2624
Matrix Games,3,64.86,1125
GATO STUDIO,4,64.84,1332
Hunted Cow Games,3,64.82,3648
FeelThere,3,64.78,1727
Grey Dog Software,6,64.77,690
Joy Way,3,64.71,2785
HugePixel,4,64.7,277
Childish Things Ltd,5,64.66,388
Meridian'93,4,64.61,335
Gaming Minds Studios,7,64.6,16326
ZeniMax Online Studios,4,64.57,155046
Xaviant,3,64.57,20442
Anshar Studios,5,64.52,3479
Realmforge Studios,9,64.49,29778
A Nostru,10,64.47,1116
Dead Mage,5,64.44,23151
BonusXP,3,64.38,328
Eren Aydin,3,64.36,948
Tero Lunkka,19,64.23,2212
Snowbird Games,4,64.19,5473
CI Games,8,64.17,116030
Slipgate Ironworks™,7,64.16,10237
JubleLemonSeed,3,64.15,1680
Keen Software House,4,64.03,142056
NipoBox,3,63.99,596
Axyos Games,5,63.97,2957
PinkPeachStudio,3,63.94,903
Daylight Studios,4,63.91,3348
Childish Things,3,63.85,183
Fortell Games,3,63.83,1185
Eko Software,12,63.82,38148
Tale of Tales,6,63.56,2538
Batholith Entertainment,3,63.52,587
XDEVS LTD,6,63.47,5879
Andreev Worlds,5,63.43,394
Quadfix Games,3,63.42,3069
Double Helix Games,3,63.41,8615
SIEIDI Ltd,3,63.35,452
Movavi,6,63.16,761
Games Farm,8,63.12,12724
Visual Concepts,6,63.04,53675
Three Fields Entertainment,4,62.98,1115
Zenimax Online Studios,3,62.97,2446
Aratog LLC,3,62.97,467
Microids,15,62.92,18001
Warfare Studios,26,62.92,2769
Mysterytag,3,62.9,366
Blazing Griffin,6,62.86,5323
Reality Pump Studios,8,62.85,16598
Dead Drop Studios LLC,4,62.68,581
Gravity Interactive,5,62.63,5299
SOFTSTAR TECHNOLOGY(BEIJING)CO.LTD,3,62.54,353
Appeal Studios,5,62.52,3169
Good Games,3,62.51,640
CSM,9,62.41,931
Play Spirit Limited,3,62.41,351
Klabater,4,62.34,8483
Cryo Interactive,4,62.29,476
RosePortal Games,5,62.23,865
Verterial Flur,4,62.16,1092
Black Lime Studio,7,62.09,3102
T-Bull,3,62.08,1440
Aterdux Entertainment,3,62.06,2136
Industry Games,3,62.03,4612
SOFTSTAR TECHNOLOGY(BEIJING),4,62.01,2984
ViewApp,4,61.97,4201
Hamsters Gaming,7,61.82,3663
Flugames,3,61.76,176
Crescent Moon Games,3,61.75,1099
Carbon Studio,3,61.74,1362
bumblebee,5,61.74,712
Big Robot Ltd,4,61.73,5240
Windforce,3,61.61,352
Akella,6,61.49,3076
Invent4 Entertainment,3,61.44,16037
JDM4iK Games,3,61.41,5168
Gem Rose Accent,3,61.39,415
BadWolf Games,4,61.3,413
Sinned Games,3,61.24,2680
EY-Studio,3,61.23,601
WnMStudio,3,61.22,301
OnSkull Games,10,61.19,4972
TML-Studios,12,61.17,23547
VooFoo Studios,4,61.14,1196
Frogdice,3,61.13,1380
Four Circle Interactive,3,61.04,4005
Digital Fusion Inc.,3,60.98,318
Spark Unlimited,3,60.9,7210
Nicholas Rizzo,5,60.9,2205
TB Games,6,60.83,12972
nobodyshot,3,60.82,4202
QuickSave,5,60.79,461
Image Power S.A.,6,60.74,1166
GameXP.com,4,60.7,1162
Tbjbu2,4,60.63,356
Alternative Software Ltd,8,60.45,575
Strange Fire,3,60.41,5209
LLC Blini Games,3,60.4,1309
Data Realms,3,60.35,6529
Play Publishing,3,60.34,186
Sanuk Games,6,60.24,1121
Mykhail Konokh,3,60.19,411
EA Canada,4,60.18,392072
Deck13 Hamburg,3,60.17,2358
Silent Dreams,6,60.15,7794
StormCube Games,3,60.09,766
Snail Games USA,3,60.03,25096
Mihai Morosanu,12,59.88,3442
Cleverweek,8,59.85,1407
Camel 101,5,59.75,1589
Star Vault AB,4,59.73,16224
Amaterasu Software,12,59.72,3932
KOEX studio,3,59.7,278
HUSH Interactive,3,59.58,1006
Psychic Software,3,59.58,643
Blue Byte,3,59.49,18518
Bamtang Games,4,59.33,1280
G1 Playground,3,59.19,2550
BrainStorming Team,3,59.11,229
Roastery Games,3,59.09,2102
Antonio Renna,3,59.08,1832
Centauri Production,3,59.08,512
Nikita Ghost_RUS,33,58.99,5098
Ambiera,5,58.89,715
Stereo7 Games,3,58.88,255
Nodbrim Interactive,3,58.88,206
Sledgehammer Games,6,58.71,126772
Ares Dragonis,3,58.43,2358
upjers,7,58.42,3206
Interactive Gaming Studios,6,58.22,727
Free Initiative Games,3,58.1,229
Juvty Worlds,3,57.99,3560
Geekon,4,57.96,1363
ZOV GAME STUDIO,7,57.78,1837
Naps Team,4,57.76,399
Reality Pump,6,57.74,4528
GameFormatic S.A.,3,57.73,977
Racing Bros,19,57.72,9647
FlagmanJeremy,5,57.62,477
Reality Twist GmbH,3,57.61,573
MGAME Corporation,3,57.41,506
Recotechnology S.L.,4,57.29,230
VGstudio,7,57.25,2001
Elder Games,6,57.11,2434
Flux Games,3,56.89,1373
House of Tales,4,56.88,523
ColloseusX,8,56.84,2971
Indiecode Games,3,56.7,419
HeroLabs,5,56.43,1099
Anarchy Enterprises,9,56.31,1564
Little Green Men Games,4,56.27,8616
Happy Max,3,56.26,459
Sometimes You,6,56.16,3022
Nitro Games,4,56.16,597
SharkGame,3,55.91,481
MAGIX Software GmbH,10,55.81,3844
DimleTeam,3,55.81,267
Talentplace,4,55.64,3358
HexWar Games,5,55.58,404
SimProse Studios,6,55.38,921
Proximity Games,5,55.25,6401
Ripknot Systems,45,55.22,4768
Falco Software,4,54.95,273
StrelitziaGames,3,54.79,737
Heaven Brotherhood,3,54.77,2391
New Reality Games,4,54.76,959
STuNT,3,54.7,216
Nicolas Bernard,4,54.57,775
exosyphen studios,3,54.26,1997
Gamesforgames,8,54.2,758
XDesktopSoft,5,54.16,449
EasyGames,3,53.83,386
Mikhail Melnikov,3,53.6,392
InImages,3,53.55,421
Caipirinha Games,5,53.44,612
Nimble Giant Entertainment,3,53.38,4956
Atomic Jelly,3,53.03,679
VIS-Games,13,52.92,3873
Leakage Games,3,52.9,222
Boom Games,5,52.87,996
Little Orbit,3,52.79,44891
Unicorn Games Studio,3,52.76,399
Konsordo,3,52.63,4544
Jujubee S.A.,9,52.55,3076
GameArt Studio GmbH,3,52.4,287
VikTor,6,52.39,533
Fredaikis AB,3,52.28,34425
Ignibit,4,52.2,284
Gemini Stars Games,6,52.16,811
Second Reality,3,51.97,1169
Lesta Studio,4,51.84,1108
Kerim Kumbasar,5,51.81,2341
LillyWelland inc.,7,51.66,546
Kiz Studios,3,51.65,375
Zero Sum Games,3,51.5,3706
Atum Software,3,51.48,463
Orion Games,3,51.42,1486
X-Legend Entertainment Co.,3,51.36,955
ProjectorGames,4,51.28,5206
Labory,6,51.23,1978
momoStorm Entertainment,3,51.21,1441
EnsenaSoft,30,51.16,3908
Daybreak Game Company,3,51.13,208454
RainySoft,4,51.06,872
Stardock,3,50.97,355
WTFOMGames,3,50.95,501
Eversim,11,50.78,7164
PlayWay S.A.,3,50.53,5835
Zombie Studios,3,50.43,3262
Crenetic,3,50.29,6018
Indie Game Group,3,50.25,2895
WhackAKey Games,5,50.22,775
Wastelands Interactive,8,49.91,1762
Punch Punk Games,3,49.66,780
GDNomaD,9,49.37,3772
Stop-TussiN,4,49.34,348
Idea Cabin,4,49.08,609
Kobra Studio,4,48.79,492
ELECTROSTALIN ENTERTAINMENT,3,48.57,323
Narko Games,5,48.42,1175
Flat Earth Games,3,48.41,856
RPG Video,5,48.28,945
Skobbejak Games,3,48.17,431
Starodymov,3,47.9,183
JDM4iK,3,47.73,1815
Bulut ULU,3,47.59,805
MadAboutGamesStudios,3,47.57,316
DreamsSoftGames,4,47.14,289
Dreamatrix,3,47.0,226
Trident Game Studio,3,46.7,343
YFYX GAMES,3,46.65,1095
Digital Continue,3,46.55,565
Excalibur,5,45.99,2031
Team6 Game Studios,3,45.49,308
MMEU,3,45.16,814
DnS Development,4,44.28,1445
Sunlight Games,4,44.25,1175
Homegrown Games,3,44.12,884
Hede,3,43.24,166
Z-Software,4,42.76,4218
azimuth team,12,42.61,1271
Space Monkey International,4,42.52,304
White Dog Games,4,42.35,1028
Dwarven potion brew,3,42.04,404
Team 6 Studios,5,41.64,5150
Lucky Frame,3,41.11,642
Lev Gogol,3,41.04,209
Sabrina Aridi,9,40.75,892
Delusional Games,3,40.63,900
Ben Aprigliano,3,40.11,190
CasGames,5,38.7,368
Vyacheslav Shilikhin,3,37.64,367
Acuze Interactives,3,35.07,618
ARGames,5,33.42,307
Odin Game Studio,4,31.91,3593
HorseGames,4,30.43,564
Rail Slave Games,4,30.35,3968
United Independent Entertainment,10,30.32,2715
Actalogic,5,30.22,1857
Icehole Games,4,28.92,396
The Tambourine,3,28.48,220
