developer,total_games,avg_positive_review_percentage,total_reviews
Incandescent Games,3,86.31,682
Ludosity,10,86.3,15427
Mixed Realms Pte Ltd,3,86.28,7975
Handelabra Games Inc.,6,86.27,4232
Roll7,5,86.26,7316
General Arcade,3,86.26,4339
Playdek,5,86.24,6175
Ubisoft Montpellier,6,86.23,51503
Pixelsplit,5,86.22,2857
CC ARTS,3,86.22,2066
9FingerGames,3,86.21,4513
Lasse Zacho Malver,3,86.21,1069
Neko Game,4,86.19,2613
Deck Nine,5,86.17,63489
Ice-Pick Lodge,6,86.16,19219
KARMAGAME HK LIMITED,3,86.15,2558
Fabraz,5,86.14,1440
Edym Pixels,4,86.12,2071
EMIKA_GAMES,7,86.1,11429
Edmund McMillen,5,86.06,71768
Michael Todd Games,3,86.06,4576
SMU Guildhall,9,86.05,2138
JSL Entertainment,3,86.04,28037
Dvora Studio Co.,3,86.03,6407
Little Chicken Game Company,3,85.98,819
Entertainment Forge,5,85.97,6030
MONKEYCRAFT Co. Ltd.,5,85.96,11472
Anvate Games,3,85.96,697
Live Wire,3,85.92,39945
BeautiFun Games,3,85.91,3094
Team Tetrapod,3,85.9,4037
Spry Fox LLC,4,85.89,1513
Tainted Pact,3,85.89,757
Tamerlan Satualdypov,3,85.89,537
章鱼罐头制作组,3,85.88,1919
Tequila Works,7,85.86,23569
Pandemic Studios,6,85.85,61278
Tripwire Interactive,7,85.83,252991
Ironhide Game Studio,8,85.81,53572
Intrepid Marmot,3,85.8,1412
Rake in Grass,7,85.79,6973
Digital Sun,3,85.75,26026
Metalhead Software Inc.,3,85.74,4011
Osmotic Studios,3,85.72,16914
Battlecruiser Games,4,85.72,5112
Prideful Sloth,3,85.71,7395
CITY CONNECTION,9,85.71,645
Salamandra88,5,85.66,1259
Steel Wool Studios,6,85.65,82496
10tons Ltd,15,85.65,10289
CodeManu,5,85.64,1655
Oxeye Game Studio,3,85.6,1050
LuGus Studios,4,85.57,12327
Kiki Games,4,85.57,2838
Gotcha Gotcha Games,10,85.56,18720
Retrific,4,85.56,2100
Purple Lamp,4,85.55,29063
SANDLOT,3,85.55,27163
Introversion Software,7,85.52,85226
OutOfTheBit Ltd,3,85.52,530
Trinity Team,4,85.5,4880
JoyMasher,4,85.48,4466
quicktequila,3,85.48,2998
John Szymanski,6,85.47,5248
Apogee Software,4,85.47,655
Rubeki Games,3,85.45,2278
L. Stotch,14,85.44,15745
Cotton Game,14,85.43,4092
Rejected Games,3,85.42,7486
Hammer & Ravens,3,85.41,773
Edelweiss,4,85.4,8384
Alawar Stargaze,6,85.4,1104
Arnold Rauers,3,85.4,300
FromLefcourt,3,85.38,605
Valorware,3,85.37,1131
Anatoliy Loginovskikh,30,85.36,14814
STP WORKS,4,85.36,1100
Ironclad Games Corporation,3,85.33,23754
LEVEL5 Inc.,4,85.33,23582
Mountain and Sea Studio,3,85.32,1317
Tozai Games,3,85.32,543
COLOPL,3,85.32,310
Big Blue Bubble,5,85.31,43670
Ells&Pills,3,85.3,296
Coldwild Games,6,85.26,4813
Chicken Launcher,3,85.25,6930
13AM Games,3,85.25,380
Cogoo,3,85.22,233
Triumph Studios,9,85.18,52551
Mr. Pink,3,85.17,3690
Mikołaj Spychał,4,85.16,343
NEOWIZ,4,85.13,82861
CAPCOM Co.,40,85.12,2056623
Resolution Games,7,85.12,3304
Activision,3,85.11,295
PGN Inc,3,85.08,1772
Croteam VR,5,85.07,3736
Stainless Games Ltd,3,85.04,5120
Fictiorama Studios,4,85.03,13994
Swing Swing Submarine,3,85.03,4305
Revolution Software Ltd,6,85.02,7615
SKY HOUR WORKS,3,85.02,697
Big Fish Games,7,84.96,812
Digital Extremes,3,84.95,649104
INTI CREATES CO.,25,84.95,22049
Black Train,3,84.95,1134
Turtle game,3,84.95,704
VitruviusVR,3,84.94,946
TT Games,9,84.92,96733
Thunder Lotus,3,84.9,59815
Sleepwalking Potatoes,3,84.9,210
Caligari Games,3,84.89,1134
灰烬天国,4,84.88,1722
Schell Games,9,84.85,12511
Fantasy Flight Games,5,84.85,2707
Windward_Birds,4,84.84,383
Frostwood Interactive,3,84.83,443
Adventurer's Tavern,3,84.82,1173
Monstrum,3,84.82,856
Sos Sosowski,3,84.81,5509
Invictus Games Ltd.,5,84.8,6452
Clarus Victoria,5,84.8,4501
Sumalab,3,84.8,653
Kerry Batts,4,84.8,318
Stoic,4,84.75,22795
Boomzap Inc,3,84.75,411
Pine Studio,5,84.74,21733
Horizon Hobby,3,84.72,1435
Reborn Entertainment,4,84.71,4123
HeartBeat Plus,7,84.7,5480
Castle Pixel,4,84.68,1250
MAGES. Inc.,40,84.67,46645
Green Sauce Games,5,84.65,642
Montee Games,3,84.65,360
Kool2Play,4,84.64,798
Zoink Games,4,84.62,1588
KIMIDORI SOFT,8,84.62,1437
Yamoto,4,84.62,491
Dodge Roll,3,84.61,89796
SKIPMORE,4,84.61,711
Eerie Guest,4,84.6,11263
Daniel Linssen,3,84.57,2534
Euphoria Games,5,84.55,853
Dark One!,4,84.54,1324
HappyGames,4,84.5,2203
Ninja Theory,6,84.49,121111
Haemimont Games,15,84.48,89818
Gas Powered Games,6,84.48,36704
Stanislaw Truchowski,7,84.47,3705
Team Grybanser Fox,4,84.47,321
Ninetail,4,84.46,1258
Remedy Entertainment,7,84.45,164102
Ant Workshop Ltd,4,84.45,374
Rebelião Studio,3,84.45,196
WinterSpring Games,3,84.44,3980
Choice of Games,37,84.43,7312
Cipher Prime Studios,4,84.43,1490
Coldwood Interactive,3,84.42,12682
